GEO_ID,county,ln_hh_inc_x,eqi_2jan2018_vc,Total,population.x,superfund,insecticide_ln_x,gini_est_x,std_coal_prim_pop_ln_y,hc_env_rate_ln_x,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population.y
0500000US42085,"Mercer County, PA",10.751093,0.04757661,7111,586560,TRUE,8.649879435,0.422,-9.175866281,-5.216360092,Mercer,Mercer County,42085,PA,Pennsylvania,41.3022,-80.2577,111518
0500000US12086,"Miami-Dade County, FL",13.626232,-0.427287042,90109,12217927,TRUE,11.21524356,0.503,-14.28535668,-4.823941231,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,2699428
0500000US39109,"Miami County, OH",10.623447,1.13799727,4613,511620,TRUE,8.5274768,0.399,-14.28535668,-5.711676598,Miami,Miami County,39109,OH,Ohio,40.0535,-84.2289,105371
0500000US39109,"Miami County, OH",10.623447,1.13799727,4613,511620,TRUE,8.5274768,0.399,-14.28535668,-5.711676598,Miami,Miami County,39109,OH,Ohio,40.0535,-84.2289,105371
0500000US12086,"Miami-Dade County, FL",13.626232,-0.427287042,90109,12217927,TRUE,11.21524356,0.503,-14.28535668,-4.823941231,Miami-Dade,Miami-Dade County,12086,FL,Florida,25.615,-80.5623,2699428
0500000US09007,"Middlesex County, CT",11.112075,0.901361167,6864,823847,TRUE,6.558528717,0.419,-14.28535668,-5.350832462,Middlesex,Middlesex County,09007,CT,Connecticut,41.4632,-72.5351,163053
0500000US25017,"Middlesex County, MA",13.258374,1.181205153,53465,7394532,TRUE,7.804635507,0.461,-14.28535668,-5.250312805,Middlesex,Middlesex County,25017,MA,Massachusetts,42.4856,-71.3918,1600842
0500000US34023,"Middlesex County, NJ",12.533209,1.975271583,27564,3993280,TRUE,7.060497825,0.407,-14.28535668,-5.322384357,Middlesex,Middlesex County,34023,NJ,New Jersey,40.4391,-74.4117,825920
0500000US26111,"Midland County, MI",10.42115,0.7156201,3306,418166,TRUE,7.94193867,0.463,-14.28535668,-5.493504047,Midland,Midland County,26111,MI,Michigan,43.6468,-84.3881,83355
0500000US48329,"Midland County, TX",10.802062,-0.20025076,4758,660410,TRUE,7.742224778,0.503,-14.28535668,-5.555812836,Midland,Midland County,48329,TX,Texas,31.8691,-102.0316,168167
0500000US42087,"Mifflin County, PA",9.8548746,0.79076165,2542,232930,TRUE,7.717154694,0.404,-14.28535668,-5.541627884,Mifflin,Mifflin County,42087,PA,Pennsylvania,40.6104,-77.617,46276
0500000US19129,"Mills County, IA",8.6271229,-0.147399411,704,75782,TRUE,8.481906198,0.38,-14.28535668,-5.858530998,Mills,Mills County,19129,IA,Iowa,41.0334,-95.6213,15034
0500000US55079,"Milwaukee County, WI",12.846272,-0.277317971,40538,4686871,TRUE,5.277476701,0.451,-14.28535668,-5.603886604,Milwaukee,Milwaukee County,55079,WI,Wisconsin,43.0072,-87.9668,951226
0500000US08079,"Mineral County, CO",6.0867748,-3.289356709,29,3814,TRUE,9.007419703,0.598,-14.28535668,-5.469465733,Mineral,Mineral County,08079,CO,Colorado,37.6689,-106.9241,824
0500000US30061,"Mineral County, MT",7.4730692,-2.252350569,251,20967,TRUE,5.111837175,0.381,-14.28535668,-5.950405598,Mineral,Mineral County,30061,MT,Montana,47.1472,-114.9983,4251
